"Altezza" "Sesso" "Scarpe" "Numero" "Dvds" "Ora_Letto" "Ora_Sveglia" "Taglio" "Lavoro" "Bevanda"
"356" 77 "F" 12 7 70 2 10 0 15 "pop"
"357" 58 "F" 50 4 10 -1 10 18 20 "milk"
"358" 61 "F" 20 5 15 4.5 9 25 14 "water"
"359" 66 "M" 3 7 0 2 6 0.5 20 "water"
"360" 72 "M" 2 4 5 2.5 8.5 12 0 "water"
"361" 70 "F" 55 6 40 1.5 7.7 22 0 "water"
"362" 69 "M" 5 5 55 2.5 12.5 0 17.5 "pop"
"363" 65 "F" 20 6 10 2.5 11.5 80 0 "water"
"364" 69.5 "F" 12 5 20 1.5 9 15 10 "pop"
"365" 72 "F" 20 3 20 2 8.5 0 20 "pop"
"366" 63 "F" 20 4 30 1.5 7 30 0 "pop"
"367" 67 "M" 8 2 10 0.5 8.5 25 17 "milk"
"368" 69 "M" 4 10 8 -0.5 8.5 21 15 "pop"
"369" 73 "M" 2 3 20 -0.5 9.5 13 12 "water"
"370" 70.5 "M" 3 7 10 2 9.5 10 0 "milk"
"371" 60 "F" 22 5 10 2 7 23 20 "pop"
"372" 70 "M" 4 7 45 0.5 8.5 12 0 "water"
"373" 60 "F" 8 7 20 2 7 30 25 "pop"
"374" 68.5 "F" 20 7 20 0 7 35 0 "pop"
"375" 60 "F" 12 6 5 -1 6.5 30 12 "pop"
"376" 59 "F" 15 3 27.5 -1 7 90 21 "water"
"377" 64 "F" 15 2 50 -0.5 6.5 40 0 "water"
"378" 66 "F" 21 6 10 -1.5 5.5 20 0 "water"
"379" 68 "F" 6 8 25 1 7 0 10 "water"
"380" 66 "F" 10 8 30 0 7.5 30 20 "water"
"381" 74 "M" 5 1 130 1 7 5 30 "pop"
"382" 64 "F" 24 9 35 0.5 7 45 0 "water"
"383" 66 "F" 10 7 15 0 7.5 45 0 "water"
"384" 62 "F" 30 7 10 1 7 120 0 "water"
"385" 67 "F" 35 7 150 2 7 15 30 "pop"
"386" 68 "M" 10 9 30 -1.5 7 25 0 "milk"
"387" 61.5 "F" 15 8 50 3 7.5 35 0 "milk"
"388" 70 "M" 10 7 20 -0.5 7 11 6 "pop"
"389" 64 "F" 7 9 20 0.5 7.5 25 0 "water"
"390" 67 "F" 30 5 23 0.5 7.5 15 12 "water"
"391" 66 "F" 6 3 10 -1.5 6 140 50 "milk"
"392" 67.5 "F" 10 2 3 -1 8 65 2 "water"
"393" 65 "F" 15 2 20 1.5 8 40 0 "water"
"394" 65 "F" 25 7 1 1.5 8.5 0 0 "water"
"395" 59 "M" 6 8 20 0.5 8 0 30 "pop"
"396" 69.5 "F" 15 3 50 0 9 27 4 "water"
"397" 65 "F" 20 5 25 -0.5 8 20 15 "milk"
"398" 71 "M" 17 6 10 0 8 0 15 "water"
"399" 62 "F" 35 7 20 0.5 8.5 115 0 "water"
"400" 72 "M" 6 5 10 1 8 0 0 "water"
"401" 61 "M" 3 3 35 -0.5 8.5 0 17.5 "water"
"402" 65 "F" 10 7 2 0 8.5 0 0 "milk"
"403" 60 "F" 12 7 20 0.5 9 21 10 "milk"
"404" 64 "F" 15 4 20 1 8.5 15 0 "water"
"405" 67 "F" 5 7 15 0 7 12 17.5 "water"
"406" 65 "F" 10 5 10 -0.5 8.5 95 0 "pop"
"407" 63 "F" 63 4 73 1.5 8.5 24 12.5 "water"
"408" 61 "F" 27.5 7 12 4 9 10 0 "water"
"409" 60.5 "F" 2 3 0 1.5 5.5 0 0 "milk"
"410" 63 "F" 30 7 20 -0.5 7 10.5 0 "water"
"411" 65 "F" 25 5 5 1 8 25 25 "milk"
"412" 68 "F" 15 9 12 1.5 7.5 35 25 "water"
"413" 64 "F" 30 5 40 -0.5 8.5 135 15 "pop"
"414" 72 "M" 15 7 122 1 10 15 0 "pop"
"415" 65 "F" 6 9 12 -0.5 7 35 8 "water"
"416" 62 "F" 10 7 6 1 8 15 12.5 "water"
"417" 68 "F" 9 8 3 1.5 9 20 0 "pop"
"418" 64 "F" 20 6 30 0.5 8.5 85 0 "pop"
"419" 62 "F" 20 5 0 1.5 7.5 55 17 "pop"
"420" 65 "F" 18 7 10 0 8 25 10 "milk"
"421" 62 "F" 13 4 0 1.5 8 23 0 "water"
"422" 70 "M" 5 8 137 1.5 7.5 0 25 "water"
"423" 56 "F" 16 6 20 1.5 8.5 17 0 "pop"
"424" 72 "M" 5 2 80 0.5 7.5 13 20 "water"
"425" 71 "M" 5 7 6 1 8 15 16 "water"
"426" 71 "M" 7 2 500 1 8 16 10 "water"
"427" 63 "F" 10 7 30 2.5 8 30 0 "pop"
"428" 68 "F" 14 3 8 2.5 8 30 10 "water"
"429" 60 "F" 20 2 25 0 7.5 50 10 "pop"
"430" 69.5 "F" 30 2 10 0.5 6.5 0 20 "milk"
"431" 69 "F" 23 9 6 0 8 10 6 "water"
"432" 70 "M" 3 9 25 1.5 11.5 25 0 "milk"
"433" 67 "M" 5 7 30 1.5 10.5 8 4 "water"
"434" 75 "M" 10 3 15 1 9 10 0 "pop"
"435" 65 "F" 35 7 25 2.5 11 95 20 "water"
"436" 66 "F" 8 7 5 0.5 9.5 18 10 "water"
"437" 72 "M" 4 6 0 -2 8 14 20 "milk"
"438" 73 "M" 8 8 4 1 8.5 0 8 "water"
"439" 71 "M" 5 7 15 1.5 8 15 20 "water"
"440" 62 "F" 15 5 3 0.5 9.5 20 15 "water"
"441" 67 "M" 6 9 40 1 10.5 12 20 "water"
"442" 65 "F" 20 5 6 2.5 11 90 10 "milk"
"443" 65 "F" 10 4 35 -1 7.5 0 20 "water"
